datetime,timestamp,alx_lx,tof_distance_mm
2026-06-06T12:51:34,1780743094,968.32,600
2026-06-06T12:51:39,1780743099,1101.44,757
2026-06-06T12:51:44,1780743104,806.4,417
2026-06-06T12:51:49,1780743109,499.84000000000003,603
2026-06-06T12:51:54,1780743114,580.8000000000001,632
2026-06-06T12:51:59,1780743119,551.36,644
2026-06-06T12:52:04,1780743124,428.8,367
2026-06-06T12:52:09,1780743129,648.32,686
2026-06-06T12:52:14,1780743134,681.6,727
2026-06-06T12:52:19,1780743139,1153.28,650
2026-06-06T12:52:24,1780743144,857.6,0
2026-06-06T12:52:29,1780743149,790.4,493
2026-06-06T12:52:34,1780743154,2775.04,0
2026-06-06T12:52:39,1780743159,983.04,467
2026-06-06T12:52:44,1780743164,785.9200000000001,605
2026-06-06T12:52:49,1780743169,860.8000000000001,411
2026-06-06T12:52:54,1780743174,649.6,334
2026-06-06T12:52:59,1780743179,1024.0,678
2026-06-06T12:53:04,1780743184,810.88,430
2026-06-06T12:53:09,1780743189,502.40000000000003,421
2026-06-06T12:53:14,1780743194,1424.64,590
2026-06-06T12:53:19,1780743199,855.04,756
2026-06-06T12:53:24,1780743204,472.64,127
2026-06-06T12:53:29,1780743209,421.44,185
2026-06-06T12:53:34,1780743214,517.44,334
2026-06-06T12:53:39,1780743219,127.68,1221
2026-06-06T12:53:44,1780743224,230.08,432
2026-06-06T12:53:49,1780743229,101.44,257
2026-06-06T12:53:54,1780743234,757.76,0
2026-06-06T12:53:59,1780743239,1220.48,0
2026-06-06T12:54:04,1780743244,243.84,1188
2026-06-06T12:54:09,1780743249,136.0,342
2026-06-06T12:54:14,1780743254,238.72,440
2026-06-06T12:54:19,1780743259,305.92,383
2026-06-06T12:54:24,1780743264,151.68,464
2026-06-06T12:54:29,1780743269,150.72,434
2026-06-06T12:54:34,1780743274,162.88,240
2026-06-06T12:54:39,1780743279,489.6,745
2026-06-06T12:54:44,1780743284,294.40000000000003,732
2026-06-06T12:54:49,1780743289,243.52,462
2026-06-06T12:54:54,1780743294,289.28000000000003,345
2026-06-06T12:54:59,1780743299,207.36,316
2026-06-06T12:55:04,1780743304,552.32,1216
2026-06-06T12:55:09,1780743309,176.64000000000001,361
2026-06-06T12:55:14,1780743314,1565.44,0
2026-06-06T12:55:19,1780743319,584.0,0
2026-06-06T12:55:24,1780743324,613.44,0
2026-06-06T12:55:29,1780743329,187.84,0
2026-06-06T12:55:34,1780743334,482.24,0
2026-06-06T12:55:39,1780743339,116.48,241
2026-06-06T12:55:44,1780743344,152.0,0
2026-06-06T12:55:49,1780743349,129.6,79
2026-06-06T12:55:54,1780743354,122.88,420
2026-06-06T12:55:59,1780743359,52.160000000000004,666
2026-06-06T12:56:04,1780743364,338.24,631
2026-06-06T12:56:09,1780743369,153.28,1053
2026-06-06T12:56:14,1780743374,637.44,0
2026-06-06T12:56:19,1780743379,177.6,569
2026-06-06T12:56:24,1780743384,199.36,587
2026-06-06T12:56:29,1780743389,215.04,671
2026-06-06T12:56:34,1780743394,116.8,512
2026-06-06T12:56:39,1780743399,213.76,556
2026-06-06T12:56:44,1780743404,199.68,561
2026-06-06T12:56:49,1780743409,222.72,548
2026-06-06T12:56:54,1780743414,191.04,551
2026-06-06T12:56:59,1780743419,187.20000000000002,0
2026-06-06T12:57:04,1780743424,150.08,30
2026-06-06T12:57:09,1780743429,542.08,587
2026-06-06T12:57:14,1780743434,481.6,0
2026-06-06T12:57:19,1780743439,453.44,0
2026-06-06T12:57:24,1780743444,603.52,1017
2026-06-06T12:57:29,1780743449,529.6,996
